"FileName","Population","N","N_numeric","TPs","Total_Rows","Total_Violations","Percentage_Violations","Total_Errors","ErrorRate","Total_LL_Failures","LL_Failure_Perc","Total_True_Violations","True_Violation_Perc","GoodReplications","Reanalysis_Needed","Adjusted_Replications_Needed"
"lta_lta_n_500_tp_-1.385",".200","N = 500","500",-1.385,971,318,32.7,0,0,0,0,318,32.7,653,"No",944
"lta_lta_n_500_tp_-0.85",".300","N = 500","500",-0.85,948,309,32.6,0,0,0,0,309,32.6,639,"No",942
"lta_lta_n_500_tp_-0.41",".400","N = 500","500",-0.41,894,262,29.3,0,0,0,0,262,29.3,632,"No",893
"lta_lta_n_500_tp_0.41",".600","N = 500","500",0.41,766,199,26,0,0,0,0,199,26,567,"No",849
"lta_lta_n_500_tp_0.85",".700","N = 500","500",0.85,733,206,28.1,0,0,0,0,206,28.1,527,"No",877
"lta_lta_n_500_tp_1.385",".800","N = 500","500",1.385,717,184,25.7,0,0,0,0,184,25.7,533,"No",845
"lta_lta_n_1000_tp_-1.385",".200","N = 1000","1000",-1.385,1157,393,34,0,0,0,0,393,34,764,"No",965
"lta_lta_n_1000_tp_-0.85",".300","N = 1000","1000",-0.85,958,312,32.6,0,0,0,0,312,32.6,646,"No",942
"lta_lta_n_1000_tp_-0.41",".400","N = 1000","1000",-0.41,802,202,25.2,0,0,0,0,202,25.2,600,"No",839
"lta_lta_n_1000_tp_0.41",".600","N = 1000","1000",0.41,720,168,23.3,0,0,0,0,168,23.3,552,"No",817
"lta_lta_n_1000_tp_0.85",".700","N = 1000","1000",0.85,726,201,27.7,0,0,0,0,201,27.7,525,"No",871
"lta_lta_n_1000_tp_1.385",".800","N = 1000","1000",1.385,680,183,26.9,0,0,0,0,183,26.9,497,"Yes",861
"lta_lta_n_2000_tp_-1.385",".200","N = 2000","2000",-1.385,1080,356,33,0,0,0,0,356,33,724,"No",948
"lta_lta_n_2000_tp_-0.85",".300","N = 2000","2000",-0.85,961,325,33.8,0,0,0,0,325,33.8,636,"No",961
"lta_lta_n_2000_tp_-0.41",".400","N = 2000","2000",-0.41,854,250,29.3,0,0,0,0,250,29.3,604,"No",893
"lta_lta_n_2000_tp_0.41",".600","N = 2000","2000",0.41,776,212,27.3,0,0,0,0,212,27.3,564,"No",866
"lta_lta_n_2000_tp_0.85",".700","N = 2000","2000",0.85,713,190,26.6,0,0,0,0,190,26.6,523,"No",857
"lta_lta_n_2000_tp_1.385",".800","N = 2000","2000",1.385,717,167,23.3,0,0,0,0,167,23.3,550,"No",817
"lta_lta_n_4000_tp_-1.385",".200","N = 4000","4000",-1.385,900,244,27.1,0,0,0,0,244,27.1,656,"No",863
"lta_lta_n_4000_tp_-0.85",".300","N = 4000","4000",-0.85,948,307,32.4,0,0,0,0,307,32.4,641,"No",939
"lta_lta_n_4000_tp_-0.41",".400","N = 4000","4000",-0.41,837,256,30.6,0,0,0,0,256,30.6,581,"No",912
"lta_lta_n_4000_tp_0.41",".600","N = 4000","4000",0.41,762,221,29,0,0,0,0,221,29,541,"No",889
"lta_lta_n_4000_tp_0.85",".700","N = 4000","4000",0.85,695,169,24.3,0,0,0,0,169,24.3,526,"No",828
"lta_lta_n_4000_tp_1.385",".800","N = 4000","4000",1.385,740,152,20.5,0,0,0,0,152,20.5,588,"No",785
